1529;1.85;1.43;1.59;1.48;1.43
2443;1.85;1.43;1.59;1.48;1.43
4333;1.85;1.43;1.59;1.48;1.43
4679;1.85;1.43;1.59;1.48;1.43
6178;1.85;1.43;1.59;1.48;1.43
6456;1.85;1.43;1.59;1.48;1.43
7701;1.85;1.43;1.59;1.48;1.43
8777;1.85;1.43;1.59;1.48;1.43
8829;1.85;1.43;1.59;1.48;1.43
7109;1.83;1;1.0845;1.18;1.065
3058;1.83;1;1.078;1;1.114
2773;1.8;1.28;1.1755;1.12;1
4376;1.76;1.415;1.624;1.12;1.054
3726;1.76;1.135;1;1;1
8592;1.74;1.32;1.026;1.12;1.168
3133;1.74;1.02;1.1625;1.12;1.168
4547;1.72;1.38;1.13;1.09;1.239
8387;1.72;1.175;1.2535;1.04;1.125
4073;1.71;1.245;1.0455;1;1.065
8860;1.71;1.235;1.5265;1.32;1.19
3912;1.71;1.155;1.1625;1.18;1
7548;1.71;1.125;1.078;1.18;1.168
1834;1.7;1.255;1.0975;1.12;1
8693;1.7;1.04;1.1625;1;1.223
7640;1.7;1;1.1625;1;1.065
223;1.69;1.225;1.182;1;1.022
9030;1.69;1.175;1.0975;1;1.065
2581;1.69;1.09;1.2925;1.31;1.076
9618;1.69;1;1;1;1.168
7735;1.68;1.155;1.078;1.1;1.043
2688;1.68;1.15;1.377;1;1.049
6254;1.68;1.11;1.3185;1;1.168
2358;1.68;1.11;1.286;1.24;1
2692;1.68;1.06;1.117;1.26;1.363
3131;1.68;1;1.52;1.27;1.103
8199;1.68;1;1.312;1.12;1
1562;1.68;1;1.2665;1.12;1.163
2263;1.67;1.305;1.39;1.12;1.114
8292;1.67;1.26;1.39;1;1
3752;1.67;1.245;1.6045;1;1
1555;1.67;1.16;1.104;1;1.022
5171;1.67;1.09;1.3705;1.09;1.13
1134;1.67;1.05;1.156;1.14;1
1304;1.67;1.05;1.065;1.13;1.081
2794;1.66;1.275;1.6305;1;1.244
7282;1.66;1.165;1.3705;1;1.065
68;1.66;1.06;1.1235;1.2;1
7419;1.65;1.23;1.169;1.11;1
3126;1.65;1.215;1.416;1;1.13
381;1.65;1.09;1.4485;1;1
4508;1.64;1.185;1.247;1;1.065
9659;1.64;1.14;1.39;1.1;1.092
3276;1.64;1.125;1.1235;1.12;1.423
8146;1.64;1.11;1.2535;1.75;1.13
7559;1.64;1.06;1.1755;1.13;1
4714;1.64;1.05;1.1755;1.13;1
1920;1.64;1;1.078;1;1.119
3089;1.63;1.175;1.39;1.27;1.19
5301;1.63;1.155;1.078;1.08;1.081
2400;1.63;1.09;1.2925;1.11;1.125
4330;1.63;1.06;1.091;1.24;1
811;1.63;1.055;1.156;1.18;1.196
7769;1.63;1;1.091;1.39;1.239
5988;1.62;1.32;1;1.32;1.13
9032;1.62;1.15;1.2925;1;1.13
3639;1.62;1.145;1.1235;1.13;1.168
8475;1.62;1.14;1.4745;1.13;1
6171;1.62;1.13;1.2925;1;1.065
9352;1.62;1.09;1.3705;1.07;1
4931;1.62;1.07;1.0845;1.1;1
134;1.62;1.05;1.0975;1.12;1.125
6543;1.61;1.235;1.143;1;1.125
861;1.61;1.2;1.39;1.23;1.19
511;1.61;1.12;1.1495;1;1.135
52;1.61;1.11;1.2925;1;1
8775;1.61;1.09;1.468;1.58;1.244
6787;1.61;1.09;1.455;1;1.374
9712;1.61;1.06;1.026;1;1.049
2507;1.61;1.05;1.156;1;1
5429;1.61;1;1.156;1;1.195
3693;1.6;1.36;1.3835;1.38;1.125
2880;1.6;1.32;1.39;1;1.293
8238;1.6;1.245;1.5395;1;1.244
6588;1.6;1.245;1.2925;1;1.13
8326;1.6;1.215;1.468;1.1;1.081
9754;1.6;1.2;1.39;1.13;1.13
9365;1.6;1.155;1.3705;1.12;1.125
1210;1.6;1.12;1;1;1.179
4107;1.6;1.115;1.2015;1.24;1.043
399;1.6;1.095;1.3705;1.1;1.098
4891;1.6;1.05;1.247;1.12;1.065
2777;1.59;1.24;1.0455;1.26;1.293
7446;1.59;1.225;1.182;1.71;1.13
528;1.59;1.215;1.0715;1.45;1.065
9362;1.59;1.21;1.6175;1.24;1.125
8739;1.59;1.21;1.4485;1;1.125
8010;1.59;1.135;1.6825;1.18;1.125
9634;1.59;1.12;1.182;1.18;1.114
286;1.59;1.11;1.2535;1.21;1.119
8030;1.59;1.105;1.3965;1;1.087
4086;1.59;1.09;1.585;1.29;1.103
3053;1.59;1.05;1.1755;1;1.125
3933;1.58;1.325;1.078;1;1.087
1936;1.58;1.19;1;1;1.217
4618;1.58;1.14;1.065;1;1.212
3357;1.58;1.125;1.2275;1.12;1.065
3470;1.58;1.11;1.247;1.09;1.065
5367;1.58;1.11;1.2405;1.23;1.293
1080;1.58;1.07;1.4745;1;1.125
1469;1.58;1.06;1.2795;1.21;1.157
1159;1.58;1;1.3965;1;1.07
9880;1.58;1;1.1625;1.15;1.19
8187;1.58;1;1.078;1;1.125
2123;1.57;1.31;1.468;1;1.065
1447;1.57;1.28;1.0455;1.18;1.06
3309;1.57;1.28;1.0455;1.08;1.146
1612;1.57;1.275;1.13;1;1
6581;1.57;1.24;1;1.24;1.043
4564;1.57;1.185;1.13;1;1.244
4976;1.57;1.18;1.0715;1;1.244
9976;1.57;1.18;1;1.19;1.125
1690;1.57;1.175;1.0845;1.59;1.065
4077;1.57;1.155;1;1.07;1.13
3578;1.57;1.14;1.39;1;1.195
3769;1.57;1.115;1;1.21;1
7648;1.57;1.09;1.5265;1;1.065
1211;1.57;1.09;1.2925;1.26;1.119
3025;1.57;1.09;1.2925;1.1;1.065
6135;1.57;1.09;1.2925;1;1.168
9550;1.57;1.075;1.2275;1;1.287
7471;1.57;1.075;1.143;1;1.125
976;1.57;1.06;1.182;1.22;1.049
1943;1.57;1.06;1.078;1.07;1.374
661;1.57;1.05;1.026;1.18;1.13
2439;1.57;1;1.247;1.22;1.293
8057;1.57;1;1.1755;1.18;1
5456;1.57;1;1.156;1;1.168
5728;1.57;1;1.078;1.12;1.125
6192;1.56;1.345;1.026;1;1
5506;1.56;1.285;1.0455;1.35;1.114
3906;1.56;1.23;1.3445;1;1.065
2127;1.56;1.215;1.065;1.45;1.114
4341;1.56;1.195;1.078;1;1.293
9994;1.56;1.19;1;1;1
2422;1.56;1.155;1.1495;1;1.049
4759;1.56;1.11;1.2535;1.42;1.32
6567;1.56;1.09;1.52;1.31;1.146
9774;1.56;1.055;1.156;1.31;1.098
97;1.56;1.05;1.078;1.19;1
4928;1.56;1;1.1365;1.13;1
9364;1.55;1.295;1.377;1;1
3003;1.55;1.28;1.1235;1;1.098
7863;1.55;1.27;1.351;1.24;1.092
4288;1.55;1.27;1.351;1.18;1
4992;1.55;1.25;1.078;1.28;1.168
4350;1.55;1.225;1.195;1.21;1.125
3915;1.55;1.2;1.4615;1.45;1.233
6039;1.55;1.18;1.312;1;1.244
1002;1.55;1.155;1;1;1.049
9760;1.55;1.15;1.4485;1.24;1.049
7631;1.55;1.15;1.3705;1.74;1.108
8386;1.55;1.145;1.156;1.14;1.125
6970;1.55;1.14;1.6305;1;1
4772;1.55;1.12;1.156;1.24;1.244
1472;1.55;1.115;1.3965;1.23;1
5556;1.55;1.115;1.143;1.14;1.125
8865;1.55;1.115;1.026;1.29;1.358
2111;1.55;1.115;1;1.14;1.293
815;1.55;1.11;1.351;1;1.293
8579;1.55;1.105;1.247;1.13;1.065
7296;1.55;1.09;1.507;1.18;1.065
955;1.55;1.09;1.4615;1.29;1.119
7973;1.55;1.09;1.3705;1;1
4413;1.55;1.06;1.2535;1;1.125
2892;1.55;1;1.091;1;1.249
3206;1.55;1;1.0845;1;1.195
2602;1.54;1.34;1.338;1;1.065
4724;1.54;1.255;1.078;1.09;1.114
4897;1.54;1.225;1.2925;1.14;1
6954;1.54;1.205;1.2925;1.25;1.098
6919;1.54;1.205;1.117;1.1;1.293
3392;1.54;1.19;1.1755;1;1
2057;1.54;1.105;1.2665;1.17;1
9759;1.54;1.09;1.4485;1;1.13
7428;1.54;1.09;1.2925;1.18;1.049
3016;1.54;1.06;1.1755;1.13;1.293
7825;1.54;1.06;1.1755;1;1.217
8682;1.54;1.06;1.1365;1;1.168
9682;1.54;1.06;1.0975;1;1.049
7224;1.54;1.05;1.26;1.12;1.114
7789;1.54;1.05;1.0975;1.53;1.396
7215;1.54;1;1;1;1.146
7741;1.53;1.265;1;1.21;1.065
9847;1.53;1.245;1.5265;1;1.228
8075;1.53;1.21;1.3705;1;1
7729;1.53;1.205;1.2795;1.29;1.065
4490;1.53;1.18;1.0585;1.18;1
7414;1.53;1.18;1;1.18;1
9057;1.53;1.15;1.4485;1;1.244
1593;1.53;1.12;1.0975;1;1.223
1287;1.53;1.09;1.6435;1;1
7983;1.53;1.09;1.624;1.37;1.125
4206;1.53;1.09;1.559;1;1
9114;1.53;1.06;1.0975;1;1
1069;1.53;1.05;1.325;1.07;1.363
1509;1.53;1.05;1.0975;1;1
4066;1.53;1.05;1.026;1.12;1.065
3592;1.53;1;1.2405;1;1.254
5392;1.53;1;1.1365;1;1.065
2606;1.53;1;1.104;1;1.125
3967;1.53;1;1;1.08;1.455
1345;1.52;1.33;1.338;1.25;1.065
8154;1.52;1.27;1.312;1.04;1.098
7814;1.52;1.255;1.2405;1.23;1
4019;1.52;1.15;1.3835;1.17;1.049
5313;1.52;1.15;1.2925;1;1.13
